Word,Definition,Example
soluble,able to be dissolved,Sugar is soluble in water.
solvent,able to pay debts,The company remained solvent despite losses.
somber,"dark, gloomy",The mood was somber at the funeral.
somnolent,"sleepy, drowsy",The warm room made everyone somnolent.
sophomoric,"immature, pretentious",His sophomoric humor was tiresome.
soporific,sleep-inducing,The lecturer's soporific voice put students to sleep.
sordid,"filthy, morally degraded",The sordid details shocked everyone.
sovereign,supreme in power,The nation was finally sovereign and independent.
sparse,thinly scattered,Vegetation was sparse in the desert.
spartan,"simple, austere",The accommodations were spartan but clean.
spat,a minor quarrel,They had a brief spat but made up quickly.
spawn,"to produce, give rise to",The controversy spawned numerous debates.
specious,seemingly true but actually false,His specious argument was easily refuted.
specter,"a ghost, a haunting fear",The specter of war loomed over the nation.
spectrum,a range,The political spectrum includes many viewpoints.
speculate,"to theorize, guess",Scientists speculated about the cause.
spendthrift,one who spends wastefully,The spendthrift quickly ran through his inheritance.
spontaneous,occurring without external cause,The applause was spontaneous and heartfelt.
sporadic,occurring irregularly,The rain was sporadic throughout the day.
spurious,"false, fake",The document was proven to be spurious.
spurn,to reject with disdain,She spurned his advances.
squalor,"filth, miserable conditions",They lived in squalor and poverty.
squander,to waste,He squandered his fortune on gambling.
stagnant,"motionless, unchanging",The economy remained stagnant for years.
staid,"serious, unadventurous",Her staid demeanor contrasted with his wild energy.
stalemate,a deadlock,Negotiations reached a stalemate.
staple,a principal element,Rice is a staple food in many countries.
stark,"bare, harsh",The stark landscape was beautiful in its simplicity.
static,unchanging,The situation remained static.
staunch,"loyal, committed",He was a staunch supporter of the cause.
steadfast,"loyal, unwavering",She remained steadfast in her beliefs.
stealth,secretive behavior,The cat moved with stealth.
stereotype,an oversimplified image or idea,The film relied on cultural stereotypes.
sterile,"a) free from bacteria, b) unable to reproduce, c) unproductive",a) The instruments were sterile. b) The mule is sterile. c) The debate was sterile and went nowhere.
stern,"severe, strict",The judge was stern but fair.
stigma,a mark of disgrace,There's still a stigma attached to mental illness.
stilted,"stiff, artificial",The conversation was stilted and awkward.
stint,a period of time,He did a stint in the army.
stipend,a regular payment,The intern received a small stipend.
stipulate,to specify as a condition,The contract stipulated payment terms.
stoic,"unemotional, indifferent to pleasure or pain",He remained stoic in the face of tragedy.
stolid,"unemotional, impassive",His stolid expression revealed nothing.
stratagem,a clever trick or plan,The general devised a brilliant stratagem.
stratum,a layer,The archaeologists excavated each stratum carefully.
strident,loud and harsh,Her strident voice was hard to ignore.
stringent,"strict, severe",The regulations were stringent.
stupefy,"to stun, amaze",The news stupefied everyone.
stymie,"to hinder, obstruct",Budget cuts stymied the project.
suave,"smoothly agreeable, sophisticated",The suave diplomat handled the situation gracefully.
subjugate,"to conquer, bring under control",The empire subjugated neighboring territories.
sublime,"supreme, awe-inspiring",The view from the mountaintop was sublime.
subliminal,below the threshold of consciousness,Subliminal messages in advertising are controversial.
subordinate,lower in rank or importance,The subordinate followed orders.
subservient,"submissive, servile",He refused to be subservient to anyone.
substantiate,"to verify, prove",The evidence substantiated her claims.
substantive,"essential, having substance",They had a substantive discussion about the issues.
subterfuge,deception,He used subterfuge to gain entry.
subtle,"not obvious, delicate",The subtle flavors were appreciated by connoisseurs.
subversive,seeking to overthrow,Subversive elements threatened the government.
succinct,brief and clear,His explanation was succinct and to the point.
succor,"aid, assistance",They provided succor to the refugees.
succulent,"juicy, tasty",The succulent steak was perfectly cooked.
succumb,"to give in, yield",He finally succumbed to temptation.
suffice,to be enough,A simple apology will suffice.
suffrage,the right to vote,Women fought for suffrage for decades.
sultry,"hot and humid, sensual",The sultry weather made everyone uncomfortable.
sumptuous,"luxurious, lavish",They enjoyed a sumptuous feast.
sunder,to split apart,The conflict sundered the family.
superannuated,"outdated, retired",The superannuated equipment was replaced.
supercilious,"arrogant, haughty",His supercilious attitude offended everyone.
superficial,"shallow, on the surface",The cuts were superficial and not serious.
superfluous,"unnecessary, excess",The paragraph was superfluous and was deleted.
supplant,to replace,The new technology supplanted the old methods.
supple,flexible,The gymnast's supple body allowed for incredible feats.
supplicate,to beg humbly,The prisoner supplicated for mercy.
supposition,an assumption,The theory was based on mere supposition.
suppress,"to restrain, hold back",She suppressed her anger.
surfeit,"excess, overabundance",A surfeit of choices can be overwhelming.
surly,"bad-tempered, rude",The surly waiter provided poor service.
surmise,"to guess, infer",We can only surmise what happened.
surmount,to overcome,They surmounted many obstacles.
surpass,to exceed,The results surpassed expectations.
surreptitious,"secret, stealthy",He cast a surreptitious glance at his watch.
surrogate,a substitute,She served as a surrogate mother.
surveillance,close observation,The suspect was under surveillance.
sustain,"to support, maintain",Exercise helps sustain good health.
svelte,"slender, elegant",She had a svelte figure.
swarthy,dark-complexioned,The swarthy sailor had weathered skin.
swindle,"to cheat, defraud",The con artist swindled elderly victims.
sycophant,a servile flatterer,The sycophant praised the boss constantly.
symmetry,balanced proportions,The building's symmetry was pleasing to the eye.
synergy,combined action producing greater effect,The team's synergy led to success.
synopsis,a brief summary,The synopsis captured the essence of the book.
synthesis,combination of parts into a whole,The essay was a synthesis of various theories.
tacit,"implied, unspoken",There was tacit agreement among the members.
taciturn,habitually silent,The taciturn man rarely spoke.
tactile,relating to the sense of touch,The tactile experience was important to the artist.
talisman,an object believed to bring good luck,She carried a rabbit's foot as a talisman.
tangent,a sudden digression,The speaker went off on a tangent.
tangential,only slightly related,His comments were tangential to the discussion.
tangible,"touchable, concrete",We need tangible evidence.
tantamount,equivalent in effect,His silence was tantamount to agreement.
tarnish,"to dull, damage reputation",The scandal tarnished his image.
taut,"tight, tense",The rope was taut.
tautology,needless repetition,Free gift is a tautology.
tawdry,cheap and showy,The tawdry decorations were in poor taste.
taxonomy,classification system,Biological taxonomy organizes living things.
teem,to be full of,The river teemed with fish.
temerity,"boldness, recklessness",He had the temerity to challenge the boss.
temperate,"moderate, restrained",The climate is temperate year-round.
tempest,a violent storm,The tempest destroyed several boats.
temporal,"relating to time, worldly",Temporal concerns overshadowed spiritual ones.
tenable,defensible,His argument was no longer tenable.
tenacious,"persistent, holding firm",She was tenacious in pursuing her goals.
tendentious,"biased, promoting a particular viewpoint",The article was tendentious and one-sided.
tenet,a principle or belief,Freedom is a core tenet of democracy.
tentative,"uncertain, provisional",The plans are still tentative.
tenuous,"weak, flimsy",The connection between the events was tenuous.
tenure,permanent employment status,The professor achieved tenure after seven years.
tepid,"lukewarm, halfhearted",The response was tepid at best.
terse,"brief, concise",His terse reply ended the conversation.
testy,"irritable, impatient",The testy coach snapped at the players.
theoretical,based on theory rather than practice,The approach was purely theoretical.
therapeutic,having healing properties,The massage was therapeutic.
thespian,an actor,The talented thespian won an award.
thrifty,"economical, frugal",Her thrifty habits allowed her to save money.
thrive,"to prosper, flourish",The business thrived under new management.
thwart,to prevent from accomplishing,Bad weather thwarted their plans.
timorous,"fearful, timid",The timorous rabbit fled at the slightest sound.
tirade,a long angry speech,He launched into a tirade about the service.
titular,in title only,He was the titular head but had no real power.
toady,a servile flatterer,The toady agreed with everything the boss said.
tome,"a large, heavy book",The scholar consulted ancient tomes.
torpid,"sluggish, inactive",The torpid lizard basked in the sun.
torrid,"very hot, passionate",The torrid summer heat was oppressive.
tortuous,"winding, complex",The tortuous path led through the mountains.
tout,"to promote, praise publicly",The company touted its new product.
tractable,"easily managed, docile",The horse was tractable and easy to train.
traduce,"to slander, defame",His enemies traduced his reputation.
trajectory,the path of a moving object,The missile followed a predictable trajectory.
tranquil,"calm, peaceful",The tranquil garden was a refuge from stress.
transcend,"to go beyond, surpass",The artist's work transcended conventional boundaries.
transgress,to violate a law or command,Those who transgress will be punished.
transient,"temporary, passing",The transient workers moved from job to job.
transition,passage from one state to another,The transition to democracy was difficult.
transitory,"temporary, fleeting",Fame can be transitory.
translucent,allowing light to pass through,The translucent curtains filtered the sunlight.
transmute,to transform,The alchemists tried to transmute lead into gold.
transparent,"a) clear, see-through, b) obvious",a) The glass was transparent. b) His motives were transparent.
transpire,"to occur, happen",We'll have to wait and see what transpires.
traverse,"to cross, travel across",The explorers traversed the desert.
travesty,"a mockery, distortion",The trial was a travesty of justice.
treacherous,"dangerous, untrustworthy",The roads were treacherous in winter.
treatise,a formal written work,He wrote a treatise on economics.
trek,"a long, difficult journey",The trek through the jungle took weeks.
tremulous,"trembling, fearful",She spoke in a tremulous voice.
trenchant,"effective, articulate, clear-cut",The how-to directions that came with my speed bike were not trenchant and proved very difficult to follow.
trepidation,"fear, apprehension",Nolan's trepidation surged when he saw that wall of water approaching the beach.
trite,"not original, overused",Every knock-knock joke should be banned from use and considered trite by all serious comedians.
truculent,"ready to fight, cruel","Boxing, more so than most other sports, is a test of truculent prowess."
truncate,to shorten by cutting off,"Craig tried so hard to get his brother to truncate his long, boring speech, but to no avail."
turgid,"swollen, excessively embellished in style or language",Some young writers attempt to be impressive by using turgid language where none is required.
turpitude,"depravity, moral corruption",There are certain cities in the world that cater to the turpitude that's rampant in our society.
ubiquitous,"existing everywhere, widespread","Going through the fields, the briar bushes seemed ubiquitous, sticking us at every turn."
umbrage,"resentment, offense",Uncontrolled opinion-offering can and will result in umbrage being taken at some point.
uncanny,of supernatural character or origin,It's uncanny how the skilled magicians can make things seem to float without using any apparatus.
unctuous,"smooth or greasy in texture, appearance, manner",The slick politician struck all of the audience members as unctuous and underhanded.
undulate,to move in waves,"As the waves picked up, that little skiff started to undulate like a fishing cork."
upbraid,to criticize or scold severely,The parents started to upbraid the mischievous teens for skipping school and going to the mall.
usurp,"to seize by force, take possession of without right",The young prince dreamed of usurping his father's position and sitting comfortably on his throne.
utilitarian,relating to or aiming at usefulness,"We were told to buy only utilitarian items, nothing that was pretty but has no practical use."
utopia,an imaginary and remote place of perfection,"In the middle of the Amazonian jungle, there's a legendary city called Utopia."
vacillate,"to fluctuate, hesitate","When the stakes went up, some of the players lost their aggressiveness and started to vacillate."
vacuous,"lacking content or ideas, stupid","After being asked several hard questions in a row and missing them all, Chloe seemed vacuous to those watching."
validate,"to confirm, support, corroborate","The numbers were presented by Dr. Lewis, but they needed to be validated independently by someone else."
vapid,"lacking liveliness, dull","The latest rendition of Star Battles is reported to be vapid, lacking any real intrigue."
variegated,"diversified, distinctly marked",The variegated patterns on the python make it one of the most beautiful creatures in nature.
vehemently,"adverb, marked by intense force or emotion","I vehemently oppose any and all changes at this point, shouted Mayor Todd."
veneer,"a superficial or deceptively attractive appearance, façade",Beneath that veneer of politeness and manners beats a heart that is willing to kill.
venerable,deserving of respect because of age or achievement,The professor emeritus was a venerable scholar; everyone listened to his every word.
venerate,to regard with respect or to honor,The children were taught to venerate their leader from the crib up.
veracity,"truthfulness, accuracy","Doubting the veracity of the victim's claim, the insurance adjuster interviewed the officer again who wrote up the incident."
verbose,"wordy, impaired by wordiness","Loud, one of the major afflictions of most politicians is the inclination to be verbose."
verdant,green in tint or color,"During late spring, the vales and glens of West Thailand are lush and verdant."
vestige,a mark or trace of something lost or vanished,"The annihilation was absolute, leaving not a vestige of that ancient civilization."
vex,to confuse or annoy,"About 15 minutes after nightfall, the mosquitoes begin to vex every warm-blooded creature in the woods."
vicarious,experiencing through another,Readers have discovered that they can travel to exotic lands vicariously through the fascinating characters they read about.
vicissitude,event that occurs by chance and brings hardship or pain,"The vicissitudes of the hike began to afflict him, especially when the trail wound uphill."
vigilant,"watchful, alert",The vigilant watchman was on full alert and saw the invaders as they stepped upon the king's shore.
vilify,"to lower in importance, defame","The article truly vilified the whole team, blaming all of them for the brutal postgame fight."
vindicate,"to avenge, to free from allegation, to set free","After new evidence was introduced, the accused man was found innocent of all charges, vindicated from any possibility of punishment."
vindictive,vengeful,"When the vindictive felon was finally released from prison, he immediately sought to afflict those who'd put him there."
virtuoso,"one who excels in an art, a highly skilled musical performer","Maestro Bland is a true virtuoso, playing with unique skill every instrument in the orchestra."
viscous,"not free-flowing, syrupy","Once blood chills, it can become as viscous as maple syrup."
vitriolic,having an acerbic quality,"When angered, Fiona would spew out vitriolic characterizations of everybody she knew."
vituperate,to berate,The embarrassed coach began to vituperate his seniors for allowing themselves to be beaten by the girls' team.
vivacious,"lively, sprightly",The vivacious cheerleaders shouted and bounced about during the whole game.
vocation,"the work in which someone is employed, profession","My vocation in life is teaching school, but my passion is catching fish."
vociferous,"loud, boisterous",The ring master was so vociferous that he didn't need his megaphone to be powered.
wallow,"to roll oneself indolently, to become or remain helpless","After wallowing in self-pity all weekend, Charles got up, washed his face, and marched out to meet life, planning to conquer whatever got in his way."
wane,"to decrease in size, dwindle","After not eating for three full days, Bert's strength began to wane."
wanton,"undisciplined, lewd, lustful",Geraldine's wanton manner often made her minister cringe with distress.
whimsical,"fanciful, full of whims",The whimsical little Annie liked to pretend that she was a beautiful princess waiting to be rescued from the clutches of the Black Knight.
wily,"crafty, sly in nature","Once an animal escapes an attacker's first assault, it becomes much more wily and cunning."
winsome,"charming, pleasing","The winsome host charmed his guests with his wit, his smile, and his tacit glances."
wistful,"full of yearning, amusingly sad","As Charlotte thought back on her last summer of fun, she became wistful and longed for one more hour of joy."
wizened,"dry, shrunken, wrinkled","The wizened matriarch rose from her throne and spoke with a raspy voice of years, saying, ""My children, love each other always."""
wrath,"vengeful anger, punishment",It will one day be a day of retribution when the wrath of the king is meted out upon all who speak his name in vain.
yoke,"to join, link",The oxen were yoked together because the field was almost petrified from lack of rain.
zealous,"fervent, filled with eagerness in pursuit of something",The zealous young apprentice spent the night at his desk trying to learn everything in a day.
zenith,"the highest point, culminating point","At the zenith of his physical maturity, Clark was able to lift 1,000 lbs. above his head."
zephyr,a gentle breeze,"If the zephyr favors us, we shall make port by nightfall, Captain Long Fellow announced."
